ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal
17,Boise,ID,43880,221475,879,63.5,41.2,35.8,2.6,331482,56828,16,43.6007,-116.231,"$15,335.71 ",27%,10548,19%
47,Hartford,CT,60040,215542,1057,60.7,41.5,40.7,4.2,155406,48875,46,41.7661,-72.6834,"$7,189.72 ",15%,12684,26%
95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1,196009,63005,22,41.3112,-72.9246,"$9,068.18 ",14%,13200,21%
23,Portland,ME,48970,223367,975,55.7,37.1,43.4,2.6,333446,50995,8,43.6773,-70.2715,"$15,426.57 ",30%,11700,23%
100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2,148820,86191,97,39.3051,-76.6144,"$6,885.02 ",8%,14640,17%
68,Oklahoma City,OK,46070,150925,827,72.2,50.7,34.9,3.3,141460,88481,21,35.4676,-97.5137,"$6,544.52 ",7%,9924,11%
83,Tulsa,OK,45260,149000,804,71.3,50.1,36.8,3.6,131658,57260,6,36.1284,-95.9043,"$6,091.04 ",11%,9648,17%
97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8,25638,53789,16,41.0993,-80.6463,"$1,186.12 ",2%,7824,15%
39,Cincinnati,OH,48890,161483,787,65.1,43.4,37.7,3.9,161214,68062,47,39.1412,-84.506,"$7,458.42 ",11%,9444,14%
69,Dayton,OH,48700,126325,770,61,42.8,39.4,4.3,60144,80582,30,39.7797,-84.1998,"$2,782.51 ",3%,9240,11%
94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9,73883,56309,2,41.6639,-83.5822,"$3,418.13 ",6%,8520,15%
85,Cleveland,OH,45589,132516,782,59.2,45.9,41,4.9,65532,65755,31,41.4767,-81.6805,"$3,031.78 ",5%,9384,14%
24,Salt Lake City,UT,47272,324198,963,63.8,41.6,30.2,3,436115,75686,57,40.7774,-111.93,"$20,176.46 ",27%,11556,15%
49,Kansas City,MO,49460,201900,894,64.6,44.5,37.1,3.4,157990,63928,44,39.1239,-94.5541,"$7,309.26 ",11%,10728,17%
80,Springfield,MO,40560,146416,721,43,22.5,36.6,2.8,146501,52813,5,37.1943,-93.2915,"$6,777.73 ",13%,8652,16%
92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3,34909,70109,60,42.3834,-83.1024,"$1,615.03 ",2%,10680,15%
115,Flint,MI,45820,121900,738,,,40.1,5.1,24470,52617,1,43.0235,-83.6922,"$1,132.08 ",2%,8856,17%
41,Lansing,MI,47990,136342,834,57.3,39.1,35.3,3.7,95504,70490,16,42.7142,-84.5601,"$4,418.40 ",6%,10008,14%
13,Grand Rapids,MI,44770,181533,826,57.9,40.2,35.7,3.1,177723,57225,11,42.9615,-85.6557,"$8,222.19 ",14%,9912,17%
79,Wichita,KS,43880,143850,769,67.6,45.5,35.8,3.7,136662,55541,7,37.6897,-97.3441,"$6,322.54 ",11%,9228,17%
111,Jackson,MS,42770,,838,75.5,53.6,36,4.1,44573,56851,7,32.3163,-90.2124,"$2,062.13 ",4%,10056,18%
45,Charleston,SC,44970,246408,1054,76.1,55.5,36.6,3,339668,58807,6,32.8151,-79.963,"$15,714.43 ",27%,12648,22%
22,Greenville,SC,43230,172067,787,70.3,50.5,38.5,3.3,203775,57444,10,34.8362,-82.3649,"$9,427.46 ",16%,9444,16%
75,Myrtle Beach,SC,35890,181800,883,81,39,46.5,4.6,265484,52502,0,33.7096,-78.8842,"$12,282.37 ",23%,10596,20%
67,Columbia,SC,43840,144192,889,75.6,53.9,36.3,3.5,148470,45368,18,34.0376,-80.9037,"$6,868.83 ",15%,10668,24%
64,Louisville,KY,45100,167300,792,67.7,48.5,38.8,3.9,179855,48913,17,38.1663,-85.6485,"$8,320.83 ",17%,9504,19%
77,Salem,OR,47240,269367,877,83.6,42.4,36.3,4.2,293913,105531,2,44.9232,-123.024,"$13,597.61 ",13%,10524,10%
8,Portland,OR,55330,375425,1118,63.1,45.6,37.8,3.8,464283,67880,41,45.5371,-122.65,"$21,479.63 ",32%,13416,20%
